,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,STNAME,CTYNAME,POPESTIMATE2019,Abbreviation,Mortality,Conf100,Deaths100,Ctylabel,text,text100
1595,Worth,29227.0,40.47945588,-94.42328751,9,0,Missouri,Worth County,2013,MO,0.0,447.0938897168405,0.0,"Worth, MO","Worth, MO<br>Cases: 9<br>Deaths: 0","Worth, MO<br>Cases per 100k pop: 447.1<br>Deaths per 100k pop: 0.0"
1596,Wright,29229.0,37.27029221,-92.46914488,62,0,Missouri,Wright County,18289,MO,0.0,339.00158565257806,0.0,"Wright, MO","Wright, MO<br>Cases: 62<br>Deaths: 0","Wright, MO<br>Cases per 100k pop: 339.0<br>Deaths per 100k pop: 0.0"
1597,St. Louis City,29510.0,38.63555736,-90.24349225,5235,176,Missouri,St. Louis city,300576,MO,3.36,1741.6560204407538,58.554242521026296,"St. Louis City, MO","St. Louis City, MO<br>Cases: 5235<br>Deaths: 176","St. Louis City, MO<br>Cases per 100k pop: 1741.7<br>Deaths per 100k pop: 58.6"
1598,Beaverhead,30001.0,45.13434354,-112.89846940000001,64,0,Montana,Beaverhead County,9453,MT,0.0,677.0337459007723,0.0,"Beaverhead, MT","Beaverhead, MT<br>Cases: 64<br>Deaths: 0","Beaverhead, MT<br>Cases per 100k pop: 677.0<br>Deaths per 100k pop: 0.0"
1599,Big Horn,30003.0,45.42335905,-107.492347,437,13,Montana,Big Horn County,13319,MT,2.97,3281.0271041369474,97.6049252946918,"Big Horn, MT","Big Horn, MT<br>Cases: 437<br>Deaths: 13","Big Horn, MT<br>Cases per 100k pop: 3281.0<br>Deaths per 100k pop: 97.6"
1600,Blaine,30005.0,48.43175214,-108.9582723,10,0,Montana,Blaine County,6681,MT,0.0,149.678191887442,0.0,"Blaine, MT","Blaine, MT<br>Cases: 10<br>Deaths: 0","Blaine, MT<br>Cases per 100k pop: 149.7<br>Deaths per 100k pop: 0.0"
1601,Broadwater,30007.0,46.33277565,-111.49558130000001,12,0,Montana,Broadwater County,6237,MT,0.0,192.4001924001924,0.0,"Broadwater, MT","Broadwater, MT<br>Cases: 12<br>Deaths: 0","Broadwater, MT<br>Cases per 100k pop: 192.4<br>Deaths per 100k pop: 0.0"
1602,Carbon,30009.0,45.22850116,-109.0274047,71,0,Montana,Carbon County,10725,MT,0.0,662.004662004662,0.0,"Carbon, MT","Carbon, MT<br>Cases: 71<br>Deaths: 0","Carbon, MT<br>Cases per 100k pop: 662.0<br>Deaths per 100k pop: 0.0"
1603,Carter,30011.0,45.5197966,-104.53955359999999,0,0,Montana,Carter County,1252,MT,,0.0,0.0,"Carter, MT","Carter, MT<br>Cases: 0<br>Deaths: 0","Carter, MT<br>Cases per 100k pop: 0.0<br>Deaths per 100k pop: 0.0"
1604,Cascade,30013.0,47.30797024,-111.3467922,166,4,Montana,Cascade County,81366,MT,2.41,204.01641963473688,4.916058304451491,"Cascade, MT","Cascade, MT<br>Cases: 166<br>Deaths: 4","Cascade, MT<br>Cases per 100k pop: 204.0<br>Deaths per 100k pop: 4.9"
1605,Chouteau,30015.0,47.88084126,-110.4353362,10,0,Montana,Chouteau County,5635,MT,0.0,177.4622892635315,0.0,"Chouteau, MT","Chouteau, MT<br>Cases: 10<br>Deaths: 0","Chouteau, MT<br>Cases per 100k pop: 177.5<br>Deaths per 100k pop: 0.0"
1606,Custer,30017.0,46.25319932,-105.57375259999998,61,2,Montana,Custer County,11402,MT,3.28,534.9938607261884,17.540782318891424,"Custer, MT","Custer, MT<br>Cases: 61<br>Deaths: 2","Custer, MT<br>Cases per 100k pop: 535.0<br>Deaths per 100k pop: 17.5"
1607,Daniels,30019.0,48.78420029,-105.54763429999998,3,0,Montana,Daniels County,1690,MT,0.0,177.5147928994083,0.0,"Daniels, MT","Daniels, MT<br>Cases: 3<br>Deaths: 0","Daniels, MT<br>Cases per 100k pop: 177.5<br>Deaths per 100k pop: 0.0"
1608,Dawson,30021.0,47.26584855,-104.89444170000002,17,0,Montana,Dawson County,8613,MT,0.0,197.37605944502496,0.0,"Dawson, MT","Dawson, MT<br>Cases: 17<br>Deaths: 0","Dawson, MT<br>Cases per 100k pop: 197.4<br>Deaths per 100k pop: 0.0"
1609,Deer Lodge,30023.0,46.05953325,-113.073353,25,0,Montana,Deer Lodge County,9140,MT,0.0,273.52297592997814,0.0,"Deer Lodge, MT","Deer Lodge, MT<br>Cases: 25<br>Deaths: 0","Deer Lodge, MT<br>Cases per 100k pop: 273.5<br>Deaths per 100k pop: 0.0"
1610,Fallon,30025.0,46.33478338,-104.41835649999999,2,0,Montana,Fallon County,2846,MT,0.0,70.27406886858749,0.0,"Fallon, MT","Fallon, MT<br>Cases: 2<br>Deaths: 0","Fallon, MT<br>Cases per 100k pop: 70.3<br>Deaths per 100k pop: 0.0"
1611,Fergus,30027.0,47.26331584,-109.2245206,14,0,Montana,Fergus County,11050,MT,0.0,126.69683257918552,0.0,"Fergus, MT","Fergus, MT<br>Cases: 14<br>Deaths: 0","Fergus, MT<br>Cases per 100k pop: 126.7<br>Deaths per 100k pop: 0.0"
1612,Flathead,30029.0,48.29575866,-114.05205690000001,347,2,Montana,Flathead County,103806,MT,0.58,334.27740207695126,1.9266709053426585,"Flathead, MT","Flathead, MT<br>Cases: 347<br>Deaths: 2","Flathead, MT<br>Cases per 100k pop: 334.3<br>Deaths per 100k pop: 1.9"
1613,Gallatin,30031.0,45.54486106,-111.1692571,947,3,Montana,Gallatin County,114434,MT,0.32,827.5512522502054,2.6215984759774194,"Gallatin, MT","Gallatin, MT<br>Cases: 947<br>Deaths: 3","Gallatin, MT<br>Cases per 100k pop: 827.6<br>Deaths per 100k pop: 2.6"
1614,Garfield,30033.0,47.27545948,-107.0002351,12,0,Montana,Garfield County,1258,MT,0.0,953.8950715421304,0.0,"Garfield, MT","Garfield, MT<br>Cases: 12<br>Deaths: 0","Garfield, MT<br>Cases per 100k pop: 953.9<br>Deaths per 100k pop: 0.0"
1615,Glacier,30035.0,48.70513576,-112.9934235,76,1,Montana,Glacier County,13753,MT,1.32,552.6067039918563,7.271140841998109,"Glacier, MT","Glacier, MT<br>Cases: 76<br>Deaths: 1","Glacier, MT<br>Cases per 100k pop: 552.6<br>Deaths per 100k pop: 7.3"
1616,Golden Valley,30037.0,46.3816474,-109.17685220000001,3,0,Montana,Golden Valley County,821,MT,0.0,365.4080389768575,0.0,"Golden Valley, MT","Golden Valley, MT<br>Cases: 3<br>Deaths: 0","Golden Valley, MT<br>Cases per 100k pop: 365.4<br>Deaths per 100k pop: 0.0"
1617,Granite,30039.0,46.40605220000001,-113.4414186,16,0,Montana,Granite County,3379,MT,0.0,473.51287363125186,0.0,"Granite, MT","Granite, MT<br>Cases: 16<br>Deaths: 0","Granite, MT<br>Cases per 100k pop: 473.5<br>Deaths per 100k pop: 0.0"
1618,Hill,30041.0,48.62879827,-110.1129252,42,2,Montana,Hill County,16484,MT,4.76,254.79252608590147,12.132977432661976,"Hill, MT","Hill, MT<br>Cases: 42<br>Deaths: 2","Hill, MT<br>Cases per 100k pop: 254.8<br>Deaths per 100k pop: 12.1"
1619,Jefferson,30043.0,46.14907081,-112.094396,29,0,Montana,Jefferson County,12221,MT,0.0,237.29645691841912,0.0,"Jefferson, MT","Jefferson, MT<br>Cases: 29<br>Deaths: 0","Jefferson, MT<br>Cases per 100k pop: 237.3<br>Deaths per 100k pop: 0.0"
1620,Judith Basin,30045.0,47.04581276,-110.26606880000001,3,0,Montana,Judith Basin County,2007,MT,0.0,149.47683109118086,0.0,"Judith Basin, MT","Judith Basin, MT<br>Cases: 3<br>Deaths: 0","Judith Basin, MT<br>Cases per 100k pop: 149.5<br>Deaths per 100k pop: 0.0"
1621,Lake,30047.0,47.64514965,-114.0898013,181,1,Montana,Lake County,30458,MT,0.55,594.2609495042353,3.283209665769256,"Lake, MT","Lake, MT<br>Cases: 181<br>Deaths: 1","Lake, MT<br>Cases per 100k pop: 594.3<br>Deaths per 100k pop: 3.3"
1622,Lewis and Clark,30049.0,47.12610041,-112.39469799999999,158,1,Montana,Lewis and Clark County,69432,MT,0.63,227.56077889157737,1.4402580942504897,"Lewis and Clark, MT","Lewis and Clark, MT<br>Cases: 158<br>Deaths: 1","Lewis and Clark, MT<br>Cases per 100k pop: 227.6<br>Deaths per 100k pop: 1.4"
1623,Liberty,30051.0,48.56084317,-111.02430700000001,1,0,Montana,Liberty County,2337,MT,0.0,42.78990158322636,0.0,"Liberty, MT","Liberty, MT<br>Cases: 1<br>Deaths: 0","Liberty, MT<br>Cases per 100k pop: 42.8<br>Deaths per 100k pop: 0.0"
1624,Lincoln,30053.0,48.54265777,-115.4046155,77,2,Montana,Lincoln County,19980,MT,2.6,385.3853853853854,10.01001001001001,"Lincoln, MT","Lincoln, MT<br>Cases: 77<br>Deaths: 2","Lincoln, MT<br>Cases per 100k pop: 385.4<br>Deaths per 100k pop: 10.0"
1625,McCone,30055.0,47.64469406,-105.79449939999999,3,0,Montana,McCone County,1664,MT,0.0,180.28846153846155,0.0,"McCone, MT","McCone, MT<br>Cases: 3<br>Deaths: 0","McCone, MT<br>Cases per 100k pop: 180.3<br>Deaths per 100k pop: 0.0"
1626,Madison,30057.0,45.30080065,-111.9173017,84,1,Montana,Madison County,8600,MT,1.19,976.7441860465116,11.627906976744185,"Madison, MT","Madison, MT<br>Cases: 84<br>Deaths: 1","Madison, MT<br>Cases per 100k pop: 976.7<br>Deaths per 100k pop: 11.6"
1627,Meagher,30059.0,46.59907074,-110.8898557,4,0,Montana,Meagher County,1862,MT,0.0,214.82277121374867,0.0,"Meagher, MT","Meagher, MT<br>Cases: 4<br>Deaths: 0","Meagher, MT<br>Cases per 100k pop: 214.8<br>Deaths per 100k pop: 0.0"
1628,Mineral,30061.0,47.15283992,-115.00152390000001,0,0,Montana,Mineral County,4397,MT,,0.0,0.0,"Mineral, MT","Mineral, MT<br>Cases: 0<br>Deaths: 0","Mineral, MT<br>Cases per 100k pop: 0.0<br>Deaths per 100k pop: 0.0"
1629,Missoula,30063.0,47.03728583,-113.92135079999998,332,1,Montana,Missoula County,119600,MT,0.3,277.59197324414714,0.8361204013377926,"Missoula, MT","Missoula, MT<br>Cases: 332<br>Deaths: 1","Missoula, MT<br>Cases per 100k pop: 277.6<br>Deaths per 100k pop: 0.8"
1630,Musselshell,30065.0,46.49684637,-108.39498,3,0,Montana,Musselshell County,4633,MT,0.0,64.7528599179797,0.0,"Musselshell, MT","Musselshell, MT<br>Cases: 3<br>Deaths: 0","Musselshell, MT<br>Cases per 100k pop: 64.8<br>Deaths per 100k pop: 0.0"
1631,Park,30067.0,45.48965095,-110.52643940000002,55,0,Montana,Park County,16606,MT,0.0,331.20558834156327,0.0,"Park, MT","Park, MT<br>Cases: 55<br>Deaths: 0","Park, MT<br>Cases per 100k pop: 331.2<br>Deaths per 100k pop: 0.0"
1632,Petroleum,30069.0,47.118246299999996,-108.2508876,0,0,Montana,Petroleum County,487,MT,,0.0,0.0,"Petroleum, MT","Petroleum, MT<br>Cases: 0<br>Deaths: 0","Petroleum, MT<br>Cases per 100k pop: 0.0<br>Deaths per 100k pop: 0.0"
1633,Phillips,30071.0,48.25936577,-107.9128511,28,0,Montana,Phillips County,3954,MT,0.0,708.1436519979767,0.0,"Phillips, MT","Phillips, MT<br>Cases: 28<br>Deaths: 0","Phillips, MT<br>Cases per 100k pop: 708.1<br>Deaths per 100k pop: 0.0"
1634,Pondera,30073.0,48.22773388,-112.22527029999999,11,0,Montana,Pondera County,5911,MT,0.0,186.09372356623246,0.0,"Pondera, MT","Pondera, MT<br>Cases: 11<br>Deaths: 0","Pondera, MT<br>Cases per 100k pop: 186.1<br>Deaths per 100k pop: 0.0"
1635,Powder River,30075.0,45.39617714,-105.636738,1,0,Montana,Powder River County,1682,MT,0.0,59.45303210463734,0.0,"Powder River, MT","Powder River, MT<br>Cases: 1<br>Deaths: 0","Powder River, MT<br>Cases per 100k pop: 59.5<br>Deaths per 100k pop: 0.0"
1636,Powell,30077.0,46.85538891,-112.93591640000001,2,0,Montana,Powell County,6890,MT,0.0,29.027576197387518,0.0,"Powell, MT","Powell, MT<br>Cases: 2<br>Deaths: 0","Powell, MT<br>Cases per 100k pop: 29.0<br>Deaths per 100k pop: 0.0"
1637,Prairie,30079.0,46.86048047,-105.379384,1,0,Montana,Prairie County,1077,MT,0.0,92.85051067780873,0.0,"Prairie, MT","Prairie, MT<br>Cases: 1<br>Deaths: 0","Prairie, MT<br>Cases per 100k pop: 92.9<br>Deaths per 100k pop: 0.0"
1638,Ravalli,30081.0,46.08520862,-114.11891640000002,83,1,Montana,Ravalli County,43806,MT,1.2,189.47176185910607,2.282792311555495,"Ravalli, MT","Ravalli, MT<br>Cases: 83<br>Deaths: 1","Ravalli, MT<br>Cases per 100k pop: 189.5<br>Deaths per 100k pop: 2.3"
1639,Richland,30083.0,47.78668011,-104.5610786,47,2,Montana,Richland County,10803,MT,4.26,435.0643339813015,18.513375914097935,"Richland, MT","Richland, MT<br>Cases: 47<br>Deaths: 2","Richland, MT<br>Cases per 100k pop: 435.1<br>Deaths per 100k pop: 18.5"
1640,Roosevelt,30085.0,48.29607488,-105.00792679999999,23,0,Montana,Roosevelt County,11004,MT,0.0,209.01490367139223,0.0,"Roosevelt, MT","Roosevelt, MT<br>Cases: 23<br>Deaths: 0","Roosevelt, MT<br>Cases per 100k pop: 209.0<br>Deaths per 100k pop: 0.0"
1641,Rosebud,30087.0,46.23397237,-106.72928799999998,34,1,Montana,Rosebud County,8937,MT,2.94,380.44086382454964,11.189437171310283,"Rosebud, MT","Rosebud, MT<br>Cases: 34<br>Deaths: 1","Rosebud, MT<br>Cases per 100k pop: 380.4<br>Deaths per 100k pop: 11.2"
1642,Sanders,30089.0,47.67657534,-115.1329916,9,0,Montana,Sanders County,12113,MT,0.0,74.30033847931973,0.0,"Sanders, MT","Sanders, MT<br>Cases: 9<br>Deaths: 0","Sanders, MT<br>Cases per 100k pop: 74.3<br>Deaths per 100k pop: 0.0"
1643,Sheridan,30091.0,48.72085833,-104.50382900000001,5,0,Montana,Sheridan County,3309,MT,0.0,151.1030522816561,0.0,"Sheridan, MT","Sheridan, MT<br>Cases: 5<br>Deaths: 0","Sheridan, MT<br>Cases per 100k pop: 151.1<br>Deaths per 100k pop: 0.0"
1644,Silver Bow,30093.0,45.90018933,-112.6620092,95,0,Montana,Silver Bow County,34915,MT,0.0,272.0893598739797,0.0,"Silver Bow, MT","Silver Bow, MT<br>Cases: 95<br>Deaths: 0","Silver Bow, MT<br>Cases per 100k pop: 272.1<br>Deaths per 100k pop: 0.0"
1645,Stillwater,30095.0,45.67071407,-109.3950061,26,1,Montana,Stillwater County,9642,MT,3.85,269.6535988384153,10.371292263015972,"Stillwater, MT","Stillwater, MT<br>Cases: 26<br>Deaths: 1","Stillwater, MT<br>Cases per 100k pop: 269.7<br>Deaths per 100k pop: 10.4"
1646,Sweet Grass,30097.0,45.81367654,-109.9425686,5,1,Montana,Sweet Grass County,3737,MT,20.0,133.7971635001338,26.75943270002676,"Sweet Grass, MT","Sweet Grass, MT<br>Cases: 5<br>Deaths: 1","Sweet Grass, MT<br>Cases per 100k pop: 133.8<br>Deaths per 100k pop: 26.8"
1647,Teton,30099.0,47.83741052,-112.24106880000001,15,0,Montana,Teton County,6147,MT,0.0,244.0214738897023,0.0,"Teton, MT","Teton, MT<br>Cases: 15<br>Deaths: 0","Teton, MT<br>Cases per 100k pop: 244.0<br>Deaths per 100k pop: 0.0"
1648,Toole,30101.0,48.65577551,-111.69424140000001,45,6,Montana,Toole County,4736,MT,13.33,950.168918918919,126.6891891891892,"Toole, MT","Toole, MT<br>Cases: 45<br>Deaths: 6","Toole, MT<br>Cases per 100k pop: 950.2<br>Deaths per 100k pop: 126.7"
1649,Treasure,30103.0,46.20973220000001,-107.26665159999999,2,0,Montana,Treasure County,696,MT,0.0,287.35632183908046,0.0,"Treasure, MT","Treasure, MT<br>Cases: 2<br>Deaths: 0","Treasure, MT<br>Cases per 100k pop: 287.4<br>Deaths per 100k pop: 0.0"
1650,Valley,30105.0,48.36435097,-106.6669635,19,0,Montana,Valley County,7396,MT,0.0,256.89561925365064,0.0,"Valley, MT","Valley, MT<br>Cases: 19<br>Deaths: 0","Valley, MT<br>Cases per 100k pop: 256.9<br>Deaths per 100k pop: 0.0"
1651,Wheatland,30107.0,46.46652491,-109.84646359999999,3,0,Montana,Wheatland County,2126,MT,0.0,141.11006585136406,0.0,"Wheatland, MT","Wheatland, MT<br>Cases: 3<br>Deaths: 0","Wheatland, MT<br>Cases per 100k pop: 141.1<br>Deaths per 100k pop: 0.0"
1652,Wibaux,30109.0,46.95925154,-104.2510927,3,0,Montana,Wibaux County,969,MT,0.0,309.59752321981426,0.0,"Wibaux, MT","Wibaux, MT<br>Cases: 3<br>Deaths: 0","Wibaux, MT<br>Cases per 100k pop: 309.6<br>Deaths per 100k pop: 0.0"
1653,Yellowstone,30111.0,45.93955949,-108.26914860000001,1295,30,Montana,Yellowstone County,161300,MT,2.32,802.8518288902666,18.598884066955982,"Yellowstone, MT","Yellowstone, MT<br>Cases: 1295<br>Deaths: 30","Yellowstone, MT<br>Cases per 100k pop: 802.9<br>Deaths per 100k pop: 18.6"
1654,Adams,31001.0,40.52449420000001,-98.50117804,358,11,Nebraska,Adams County,31363,NE,3.07,1141.4724356726078,35.073175397761695,"Adams, NE","Adams, NE<br>Cases: 358<br>Deaths: 11","Adams, NE<br>Cases per 100k pop: 1141.5<br>Deaths per 100k pop: 35.1"
1655,Antelope,31003.0,42.17695516,-98.06662829999999,19,1,Nebraska,Antelope County,6298,NE,5.26,301.6830739917434,15.878056525881233,"Antelope, NE","Antelope, NE<br>Cases: 19<br>Deaths: 1","Antelope, NE<br>Cases per 100k pop: 301.7<br>Deaths per 100k pop: 15.9"
1656,Arthur,31005.0,41.56896142,-101.6959559,1,0,Nebraska,Arthur County,463,NE,0.0,215.9827213822894,0.0,"Arthur, NE","Arthur, NE<br>Cases: 1<br>Deaths: 0","Arthur, NE<br>Cases per 100k pop: 216.0<br>Deaths per 100k pop: 0.0"
1657,Banner,31007.0,41.54634427,-103.7114332,3,0,Nebraska,Banner County,745,NE,0.0,402.6845637583893,0.0,"Banner, NE","Banner, NE<br>Cases: 3<br>Deaths: 0","Banner, NE<br>Cases per 100k pop: 402.7<br>Deaths per 100k pop: 0.0"
1658,Blaine,31009.0,41.91311716,-99.97677845,0,0,Nebraska,Blaine County,465,NE,,0.0,0.0,"Blaine, NE","Blaine, NE<br>Cases: 0<br>Deaths: 0","Blaine, NE<br>Cases per 100k pop: 0.0<br>Deaths per 100k pop: 0.0"
1659,Boone,31011.0,41.70759415,-98.06737183,8,0,Nebraska,Boone County,5192,NE,0.0,154.08320493066256,0.0,"Boone, NE","Boone, NE<br>Cases: 8<br>Deaths: 0","Boone, NE<br>Cases per 100k pop: 154.1<br>Deaths per 100k pop: 0.0"
1660,Box Butte,31013.0,42.22079243,-103.08788340000001,12,0,Nebraska,Box Butte County,10783,NE,0.0,111.28628396550126,0.0,"Box Butte, NE","Box Butte, NE<br>Cases: 12<br>Deaths: 0","Box Butte, NE<br>Cases per 100k pop: 111.3<br>Deaths per 100k pop: 0.0"
1661,Boyd,31015.0,42.899727399999996,-98.76486568,5,0,Nebraska,Boyd County,1919,NE,0.0,260.55237102657634,0.0,"Boyd, NE","Boyd, NE<br>Cases: 5<br>Deaths: 0","Boyd, NE<br>Cases per 100k pop: 260.6<br>Deaths per 100k pop: 0.0"
1662,Brown,31017.0,42.43018907,-99.92904055,0,0,Nebraska,Brown County,2955,NE,,0.0,0.0,"Brown, NE","Brown, NE<br>Cases: 0<br>Deaths: 0","Brown, NE<br>Cases per 100k pop: 0.0<br>Deaths per 100k pop: 0.0"
1663,Buffalo,31019.0,40.85486962,-99.07500296,435,1,Nebraska,Buffalo County,49659,NE,0.23,875.9741436597595,2.013733663585654,"Buffalo, NE","Buffalo, NE<br>Cases: 435<br>Deaths: 1","Buffalo, NE<br>Cases per 100k pop: 876.0<br>Deaths per 100k pop: 2.0"
1664,Burt,31021.0,41.85056773,-96.32605633,40,0,Nebraska,Burt County,6459,NE,0.0,619.2909119058678,0.0,"Burt, NE","Burt, NE<br>Cases: 40<br>Deaths: 0","Burt, NE<br>Cases per 100k pop: 619.3<br>Deaths per 100k pop: 0.0"
1665,Butler,31023.0,41.22703692,-97.13106306,60,0,Nebraska,Butler County,8016,NE,0.0,748.502994011976,0.0,"Butler, NE","Butler, NE<br>Cases: 60<br>Deaths: 0","Butler, NE<br>Cases per 100k pop: 748.5<br>Deaths per 100k pop: 0.0"
1666,Cass,31025.0,40.90899107,-96.13971217,180,2,Nebraska,Cass County,26248,NE,1.11,685.7665345931118,7.619628162145688,"Cass, NE","Cass, NE<br>Cases: 180<br>Deaths: 2","Cass, NE<br>Cases per 100k pop: 685.8<br>Deaths per 100k pop: 7.6"
1667,Cedar,31027.0,42.598885100000004,-97.25311951,22,0,Nebraska,Cedar County,8402,NE,0.0,261.8424184717924,0.0,"Cedar, NE","Cedar, NE<br>Cases: 22<br>Deaths: 0","Cedar, NE<br>Cases per 100k pop: 261.8<br>Deaths per 100k pop: 0.0"
1668,Chase,31029.0,40.523719799999995,-101.69780259999999,7,0,Nebraska,Chase County,3924,NE,0.0,178.3893985728848,0.0,"Chase, NE","Chase, NE<br>Cases: 7<br>Deaths: 0","Chase, NE<br>Cases per 100k pop: 178.4<br>Deaths per 100k pop: 0.0"
1669,Cherry,31031.0,42.54502621,-101.1244332,4,0,Nebraska,Cherry County,5689,NE,0.0,70.31112673580594,0.0,"Cherry, NE","Cherry, NE<br>Cases: 4<br>Deaths: 0","Cherry, NE<br>Cases per 100k pop: 70.3<br>Deaths per 100k pop: 0.0"
1670,Cheyenne,31033.0,41.21999357,-102.9941693,26,0,Nebraska,Cheyenne County,8910,NE,0.0,291.8069584736251,0.0,"Cheyenne, NE","Cheyenne, NE<br>Cases: 26<br>Deaths: 0","Cheyenne, NE<br>Cases per 100k pop: 291.8<br>Deaths per 100k pop: 0.0"
1671,Clay,31035.0,40.52439441,-98.05126296,50,0,Nebraska,Clay County,6203,NE,0.0,806.0615831049492,0.0,"Clay, NE","Clay, NE<br>Cases: 50<br>Deaths: 0","Clay, NE<br>Cases per 100k pop: 806.1<br>Deaths per 100k pop: 0.0"
1672,Colfax,31037.0,41.57486951,-97.0868542,703,4,Nebraska,Colfax County,10709,NE,0.57,6564.571855448688,37.351760201699506,"Colfax, NE","Colfax, NE<br>Cases: 703<br>Deaths: 4","Colfax, NE<br>Cases per 100k pop: 6564.6<br>Deaths per 100k pop: 37.4"
1673,Cuming,31039.0,41.91637624,-96.78730772,67,0,Nebraska,Cuming County,8846,NE,0.0,757.4044765995931,0.0,"Cuming, NE","Cuming, NE<br>Cases: 67<br>Deaths: 0","Cuming, NE<br>Cases per 100k pop: 757.4<br>Deaths per 100k pop: 0.0"
1674,Custer,31041.0,41.39374521,-99.72805369,48,4,Nebraska,Custer County,10777,NE,8.33,445.3929665027373,37.116080541894775,"Custer, NE","Custer, NE<br>Cases: 48<br>Deaths: 4","Custer, NE<br>Cases per 100k pop: 445.4<br>Deaths per 100k pop: 37.1"
1675,Dakota,31043.0,42.39040144,-96.56656425,1928,42,Nebraska,Dakota County,20026,NE,2.18,9627.484270448416,209.727354439229,"Dakota, NE","Dakota, NE<br>Cases: 1928<br>Deaths: 42","Dakota, NE<br>Cases per 100k pop: 9627.5<br>Deaths per 100k pop: 209.7"
1676,Dawes,31045.0,42.71985036,-103.1313774,10,0,Nebraska,Dawes County,8589,NE,0.0,116.42798928862499,0.0,"Dawes, NE","Dawes, NE<br>Cases: 10<br>Deaths: 0","Dawes, NE<br>Cases per 100k pop: 116.4<br>Deaths per 100k pop: 0.0"
1677,Dawson,31047.0,40.87028216,-99.82014609999999,961,9,Nebraska,Dawson County,23595,NE,0.94,4072.8968001695275,38.14367450731087,"Dawson, NE","Dawson, NE<br>Cases: 961<br>Deaths: 9","Dawson, NE<br>Cases per 100k pop: 4072.9<br>Deaths per 100k pop: 38.1"
1678,Deuel,31049.0,41.11168186,-102.33333309999999,2,0,Nebraska,Deuel County,1794,NE,0.0,111.48272017837235,0.0,"Deuel, NE","Deuel, NE<br>Cases: 2<br>Deaths: 0","Deuel, NE<br>Cases per 100k pop: 111.5<br>Deaths per 100k pop: 0.0"
1679,Dixon,31051.0,42.49188363,-96.86782408,57,2,Nebraska,Dixon County,5636,NE,3.51,1011.3555713271824,35.486160397445,"Dixon, NE","Dixon, NE<br>Cases: 57<br>Deaths: 2","Dixon, NE<br>Cases per 100k pop: 1011.4<br>Deaths per 100k pop: 35.5"
1680,Dodge,31053.0,41.58071748,-96.65598179,817,10,Nebraska,Dodge County,36565,NE,1.22,2234.377136606044,27.34855736359907,"Dodge, NE","Dodge, NE<br>Cases: 817<br>Deaths: 10","Dodge, NE<br>Cases per 100k pop: 2234.4<br>Deaths per 100k pop: 27.3"
1681,Douglas,31055.0,41.29518299,-96.15085305,11354,133,Nebraska,Douglas County,571327,NE,1.17,1987.3032431514703,23.279137866755814,"Douglas, NE","Douglas, NE<br>Cases: 11354<br>Deaths: 133","Douglas, NE<br>Cases per 100k pop: 1987.3<br>Deaths per 100k pop: 23.3"
1682,Dundy,31057.0,40.17638677,-101.6876522,1,0,Nebraska,Dundy County,1693,NE,0.0,59.06674542232723,0.0,"Dundy, NE","Dundy, NE<br>Cases: 1<br>Deaths: 0","Dundy, NE<br>Cases per 100k pop: 59.1<br>Deaths per 100k pop: 0.0"
1683,Fillmore,31059.0,40.52458567,-97.59646937,24,1,Nebraska,Fillmore County,5462,NE,4.17,439.3994873672647,18.30831197363603,"Fillmore, NE","Fillmore, NE<br>Cases: 24<br>Deaths: 1","Fillmore, NE<br>Cases per 100k pop: 439.4<br>Deaths per 100k pop: 18.3"
1684,Franklin,31061.0,40.17636348,-98.95299073,12,0,Nebraska,Franklin County,2979,NE,0.0,402.8197381671702,0.0,"Franklin, NE","Franklin, NE<br>Cases: 12<br>Deaths: 0","Franklin, NE<br>Cases per 100k pop: 402.8<br>Deaths per 100k pop: 0.0"
1685,Frontier,31063.0,40.52993007,-100.3924658,3,0,Nebraska,Frontier County,2627,NE,0.0,114.19870574800153,0.0,"Frontier, NE","Frontier, NE<br>Cases: 3<br>Deaths: 0","Frontier, NE<br>Cases per 100k pop: 114.2<br>Deaths per 100k pop: 0.0"
1686,Furnas,31065.0,40.17642064,-99.91247454,15,1,Nebraska,Furnas County,4676,NE,6.67,320.786997433704,21.3857998289136,"Furnas, NE","Furnas, NE<br>Cases: 15<br>Deaths: 1","Furnas, NE<br>Cases per 100k pop: 320.8<br>Deaths per 100k pop: 21.4"
1687,Gage,31067.0,40.26186809,-96.68946704,90,4,Nebraska,Gage County,21513,NE,4.44,418.35169432436203,18.593408636638312,"Gage, NE","Gage, NE<br>Cases: 90<br>Deaths: 4","Gage, NE<br>Cases per 100k pop: 418.4<br>Deaths per 100k pop: 18.6"
1688,Garden,31069.0,41.61703149,-102.3313973,4,0,Nebraska,Garden County,1837,NE,0.0,217.74632553075668,0.0,"Garden, NE","Garden, NE<br>Cases: 4<br>Deaths: 0","Garden, NE<br>Cases per 100k pop: 217.7<br>Deaths per 100k pop: 0.0"
1689,Garfield,31071.0,41.91428955,-98.99111827,4,0,Nebraska,Garfield County,1969,NE,0.0,203.14880650076182,0.0,"Garfield, NE","Garfield, NE<br>Cases: 4<br>Deaths: 0","Garfield, NE<br>Cases per 100k pop: 203.1<br>Deaths per 100k pop: 0.0"
